Что,Где,Когда,Кто,Тип,Столбец 6,Оценка,Откуда,Тэги,Жанр,Фича,РАЗНЕСЛИ:,6884,,,,,,
7) Tokyo Philharmonic Orchestra — Doctor Funk Beat(2021 Live) (nyanyannya feat. KAITO — Doctor=Funk Beat; Cover),https://music.yandex.ru/album/20992300/track/100177245?utm_medium=copy_link&ref_id=15639eb8-d3a6-40c6-90c7-59ba6e5e6679,1:20:50,RussiChan,долг Х2,р.1 671,хорошечно - -,,,оркестровое / инструментал,,,,,,,,,
8) Mastodon — Quintessence,https://open.spotify.com/track/7n2K9HW8OhwFpWEdzeYu79?si=4403b9edb9f6419b,1:32:15,Derpy_0,долг,р.2 300,атлична+,,progressive,метал,,,,,,,,,
8.5) Faryma.composer проходит тест на деменцию,Стрим,2:02:55,Faryma.composer,,,,,,,,,,,,,,,
9) Minami Shinoda — DANCE! DANCE! 'ROMAN' (Сейю: Tap Dance City) [OST; Uma Musume: Pretty Derby / Девушки-пони: Славное дерби],https://open.spotify.com/track/44qieH30b3oEw3eET1JSVz?si=779abb8722994c24,2:38:25,Svd_bb,заказ,р.1 150,хорошечно+,,,джаз,,,,,,,,,
9.5) Faryma.composer говорит о сочинении музыки,Стрим,2:48:35,Faryma.composer,,,,,,,,,,,,,,,
10) mothy feat. Kagamine Rin & Len — Aku no Meshitsukai {Слуга зла / His Significance of Existence / The Servant of Evil / 悪ノ召使} (Live),https://youtu.be/7HaEAuVGUPs?t=231,2:53:30,Meleis,долг Х6👻,р.1 200,ну такое++,,live,поп / баллада,,,,,,,,,
11) Rhapsody of Fire — Dawn of Victory,https://open.spotify.com/track/2Wy6uQOX2y45ooKuQb7Q9B?si=f0e0dbcc5cd44520,3:03:45,@Masyanyechka,заказ,р.1 161,хорошечно++,,,метал,,,,,,,,,
"12) Jorge Rivera-Herrans, Armando Julián & Teagan Earley — Remember Them [OST; EPIC: The Musical / ЭПИК: Мюзикл]",https://www.youtube.com/watch?v=XN15ruJb39s,3:18:00,Triple_AI,долг Х4☠️,р.1 000,хорошечно - -,Фильм,,рок / мюзикл/опера,,,,,,,,,
13) Rachel Ann Weiss — Rivermoon Romance,https://open.spotify.com/track/1nqSk0KcBnHcSWMWxPa1VC?si=a6b3aff170e14872,3:42:35,DOUBLEYU,долг Х3💀,р.1 571,хорошечно,,,фолк / поп,,,,,,,,,
"14) DADAROMA — Oboreru Sakana {Рыба, которая утонула / The Fish That Drowned / 溺れる魚}",https://open.spotify.com/track/6YdeUs8ONpRFktlRn5uJKH?si=cfdfa8ae8e774722,3:58:35,kumashisan,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,хорошечно++,,,метал,хороший вокал,,,,,,,,
15) Yuki Kajiura — El Cazador [OST; El Cazador de la Bruja / Эль Касадор],https://open.spotify.com/track/6KRmxVIlGhj1khUvLsnVbC?si=4ae98fb0ab524888,4:09:40,Rtur,долг Х2,р.1 711,атлична - -,Аниме,,инди / рок,,,,,,,,,
15.5) Faryma.composer разыгрывает трек за простаивание работы над сайтом #4,Стрим,4:20:55,Faryma.composer,,,,,,,,,,,,,,,
СТРИМ №269 (19.08.26),https://vkvideo.ru/video-182074546_456239416,, ,,,,,,,,,,,,,,,
 ,Пришло треков: 12,, ,,,,,,,,,,,,,,,
1) Yui Tsukada — ZOKZOK (Сейю: Transcend) [OST; Uma Musume: Pretty Derby / Девушки-пони: Славное дерби],https://open.spotify.com/track/0MLZzXaSvO4VMfYt7b42QA?si=032b0388d9d04e17,9:50,Svd_bb,заказ,р.1 300,хорошечно-,Игра,,рэп / поп / электронное,,,,,,,,,
2) Rish feat. Choko — Tanaka {Танака / Tanaka / 田中} (BOFXVII),https://www.youtube.com/watch?v=Ru8YufrITYg,23:20,wend1g,донат,р.3 000,хорошечно++,,,электронное,,,,,,,,,
"3) King Crimson — Larks' Tongues in Aspic, Part Two {Языки жаворонков в желе, часть вторая}",https://www.youtube.com/watch?v=jX0caf1HvNs,37:05,@sergogaimer,долг Х5⚰️,р.1 300,гениально,,progressive,рок,,,,,,,,,
4) Cynic — Veil of Maya,https://open.spotify.com/track/3SZn66k8OQsUk9tCby1OaN?si=dc19f0e2f43a4a71,57:15,Derpy_0,донат,р.2 600,гениально - -,,progressive,метал / инди,,,,,,,,,
5) Михаил Щербаков — Баб-эль-Мандебский пролив {Bab-el-Mandeb Strait},https://music.yandex.ru/album/30198898/track/120937519?utm_medium=copy_link&ref_id=5c5cfec3-e2b8-40e3-b5fc-a07a6957a4a4,1:12:05,Alan008,долг Х4☠️,р.1 500,атлична+,,,инди ,,,,,,,,,
6) Snail's House — Hot Milk,https://music.youtube.com/watch?v=N8nGig78lNs&si=YOjSzjqnyRfaiPKN,1:24:40,Максим Киберспорт,донат,р.2 500,нормас++,,,электронное / инструментал / поп,,,,,,,,,
"7) Tony Britten, Academy of St. Martin in the Fields & Royal Philharmonic Orchestra — UEFA Champions League Anthem {Гимн Лиги чемпионов УЕФА} (George Frideric Handel - Zadok the Priest; Original)",https://www.youtube.com/watch?v=4LKCX8QLkL8,1:34:05,Константин Бах,долг Х3💀,р.1 000,атлична,,remix,оркестровое / инструментал,задок,,,,,,,,
8) XXXTENTACION feat. Kanye West & Travis Barker — One Minute,https://open.spotify.com/track/0T6RSXxFhW8dRTWHI604ld?si=O0s86rUPSpeVVNbKYKA2Ug&utm_source=copy-link&sci=spotify%3Acard-config%3A3RvmYiMdVGiK4mOcTJnA0D,1:46:15,Мишура,донат,р.2 429,хорошечно,,,рэп / метал,,,,,,,,,
9) Dimrain47 — Operation: Evolution,https://open.spotify.com/track/6Oj8stys3zoBStGuKNBvIa?si=a51a28951592445a,1:57:50,Тот который святой чай,долг Х2,р.1 675,хорошечно - -,,,электронное / инструментал,,,,,,,,,
10) Kishida Kyoudan & The Akeboshi Rockets — Locked Girl (ZUN — Locked Girl ~ The Girl's Secret Room; Touhou Arrange; Cover) [OST; Touhou 06: The Embodiment of Scarlet Devil / Воплощение Алой Дьяволицы],https://www.youtube.com/watch?v=6Abf0yik38c,2:19:10,wend1g,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,хорошечно+,Игра,,рок,,,,,,,,,
11) Thelonious Monk — 'Round Midnight,https://open.spotify.com/track/1wl5b2lw3YagQtZiYZbQWP?si=94d340ab1cb64b26,2:30:25,Derpy_0,донат,р.5 100,гениально,,,джаз / инструментал,,,,,,,,,
12) HOYO-MiX — Deadly Interrogation (Jane Doe Theme) [Zenless Zone Zero OST],https://www.youtube.com/watch?v=5WCl2mtL4eE,2:40:05,enchi__i,долг,р.2 420,хорошечно++,Игра,,электронное / поп / ,ФЕТИШ,,,,,,,,
13) Hercules & Love Affair feat. Aerea Negrot — Painted Eyes(Moonlight Matters Remix),https://open.spotify.com/track/3LREMCGDcmNry40FyE6KMb?si=ffcf5851544b47b5,2:54:20,Rtur,донат,р.2 222,хорошечно,,,электронное / инди / фанк,,,,,,,,,
СТРИМ №268 (15.08.26),https://vkvideo.ru/video-182074546_456239415,, ,,,,,,,,,,,,,,,
 ,Пришло треков: 59,, ,,,,,,,,,,,,,,,
1) Paco de Lucía — Entre dos aguas {Между двумя водами / Entre dos aguas} (1976),https://www.youtube.com/watch?v=2oyhlad64-s,21:00,Gryryfytygy,донат,р.2 500,атлична+,,,фолк / инструментал,,,,,,,,,
2) Akina Homoto — Queendom (Сейю: Lanzhu Zhong) [OST; Love Live! Nijigasaki High School Idol Club / Живая любовь! Клуб идолов старшей школы Нидзигасаки],https://open.spotify.com/track/78a4aiFsQ0N649oXfekqIL?si=f0755353d5d34aab,33:50,Ivan_Vitalyevich,заказ,р.1 000,ну такое+,Аниме,,поп / электронное,,,,,,,,,
"3) Technopop Yuuki Synthesizer Chan — Zaisoubou, Zairoudou {Повтор, перезагрузка / rebloud / Saihousou, Sairoudo / 再放送、再ロウド。}",https://open.spotify.com/track/79nHiFIjW8mZrKdJ7dahP1?si=9439220cdc4147e4,55:15,wend1g,донат,р.3 500,атлична+,,,электронное ,,,,,,,,,
4) Akina Nakamori — Cancel! {Отмена! / キャンセル！},https://open.spotify.com/track/1eYiXlqVhuQamef4GKlkB7?si=361c1e8048f9452b,1:29:05,Максим Киберспорт,долг Х8🌋,р.1 000,атлична,,,поп / электронное,,,,,,,,,
5) Sam Westphalen — Killing Is My Business (Megadeth — Killing Is My Business... and Business Is Good!; Guitar Percussion; Cover),https://www.youtube.com/watch?v=j3bxMnXLQBk,1:40:00,MeinJurer,донат,р.5 000,атлична,,cover,инди / метал,,,,,,,,,
5.5) Топ донатеров Июня и Июля + ОЧЕНЬ МНОГО КРУТОК DonationAlerts,Стрим,1:52:15,Faryma.composer,,,,,,,,,,,,,,,
6) MOSAIC.WAV — Love Cheat!,https://open.spotify.com/track/2M2AuUCwUifpsZC2A2H14U,2:17:00,wend1g,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,атлична,,,поп / электронное,,,,,,,,,
7) Magdalena Bay — Death & Romance (Official Video),https://www.youtube.com/watch?v=_8gfVTnbBi8,2:30:30,Matumbafan89,долг Х6👻,р.1 400,атлична++,,,поп / электронное / инди,,,,,,,,,
8) Ramin Djawadi — The Winds of Winter [OST; Game of Thrones / Игра престолов],https://open.spotify.com/track/0wXNnmvuTP0jPMpAXakSs8?si=71zJaXmKQluOaP3oH0kOdA&utm_source=copy-link,2:51:45,cptkooperman,донат,р.3 600,хорошечно - -,Фильм,,оркестровое / инструментал,НАНЕСИТЕ ГЕЛЬ,,,,,,,,
"9) Andrew Samonsky, Patrick Page & Cast of The Hunchback of Notre Dame — Rest and Recreation [OST; The Hunchback of Notre Dame / Горбун из Нотр-Дама]",https://open.spotify.com/track/3mLIZNIg2AonIIibJ9XyWL?si=071dc1d93ff34cbd,3:01:50,Alan008,долг Х5⚰️,р.1 300,атлична,Фильм,,мюзикл/опера,,,,,,,,,
10) Tommy february6 — Strawberry Cream Soda Pop {○Strawberry●Cream●Soda●Pop○},http://drive.google.com/file/d/1dEYXqDA_Ao9tKBuUk6MnA4uCyJmvyzQK/view?usp=sharing,3:27:10,kittycassio,донат,р.3 538,хорошечно+,,,поп / электронное,стилизация,,,,,,,,
11) A Lot Like Birds — No Nature,https://music.yandex.ru/album/1825759/track/16655904?utm_source=desktop&utm_medium=copy_link,3:42:10,Indie Anthems,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,атлична+,,progressive,рок / метал,,,,,,,,,
11.5) Domitori Taranofu — I Know,Стрим,3:57:50,Domitori Taranofu,,,,,,,,,,,,,,,
12) Caroline Polachek — Door,https://open.spotify.com/track/5YIVVzQcJG7pFhyNo0Ytlh,4:03:15,Matumbafan89,долг Х4☠️,р.1 400,гениально - -,,,электронное / поп / баллада,,,,,,,,,
13) Domitori Taranofu — I Know,https://t.me/c/2021455695/123081,4:16:20,Domitori Taranofu,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,хорошечно-,,,поп / электронное / инструментал,ЗЕФИИИИИР,,,,,,,,
14) Animals as Leaders — Monomyth (Official Music Video),https://www.youtube.com/watch?v=1Gi5KtoWY8U,4:26:55,Hantrik,донат,р.7 003,гениально - -,,progressive,метал / инструментал,,,,,,,,,
15) Abingdon Boys School — HOWLING -INCH UP- [1 Opening Darker than Black: Kuro no Keiyakusha / Темнее чёрного],https://open.spotify.com/track/1FsqYM0DTfommr5oDiqox5,4:38:45,meganekka,заказ,р.1 000,атлична+,Аниме,,метал,,,,,,,,,
16) Lizard Smoothie — Night Sky [Shape of Dreams OST],https://www.youtube.com/watch?v=kIdSF9QabWw,5:08:05,wend1g,донат,р.7 000,атлична - -,Игра,,электронное / инструментал,,,,,,,,,
17) Muse — Stockholm Syndrome,https://music.yandex.ru/album/28205600/track/119244730?utm_source=desktop&utm_medium=copy_link,5:17:55,Indie Anthems,заказ,ТРЕК ВНЕ ОЧЕРЕДИ,гениально - -,,,рок ,,,,,,,,,
18) Alexandra Căpitănescu — Choke Me (Eurovision 2026; Romania),https://youtu.be/yn0YmI0dPb8?si=HcVRmBOBZ37a3LvI,5:30:25,Napporaivo; SinWarlock,долг Х2,р.1 700,хорошечно+,,,метал / электронное,,,,,,,,,
19) Electric Light Orchestra — Tightrope,https://open.spotify.com/track/2IKd8ozOHYuVqrYJ0tqghP?si=hAhkVB0WTAu5pKEZ7IfTcA,5:41:50,Alan008,донат,р.5 000,атлична,,,электронное/ поп-рок / оркестровое,,,,,,,,,
20) Razerek — HumanityGoesCrazyAtTheBeginningOfTimeSpaceSuperUltraBullshjit (Chiptune),https://disk.yandex.ru/i/5WOLN1mSr62w5Q,5:58:45,gougou,долг,р.2 848,атлична,,,электронное / инструментал,,,,,,,,,
21) Dysmn — Suicide Note II,https://open.spotify.com/track/6otZwoAf712Qun3h71QmNc?si=ge0MlQRtRDa49rrlJ9ML1A&utm_source=copy-link,6:17:15,Derpy_0,донат,р.3 500,ну такое,,ai,метал / электронное,,,,,,,,,
22) TetraCalyx — Shiguang Tuya {Граффити времени / 时光涂鸦} [Muse Dash OST],https://music.youtube.com/watch?v=4J68z96ht1s&si=sYix56OZHMSElckg,6:41:25,Максим Киберспорт,долг Х8🌋,р.1 000,нормас-,Игра,,поп-рок,,,,,,,,,
23) UVERworld — ROB THE FRONTIER [1/5 Opening The Seven Deadly Sins: Imperial Wrath of the Gods / Семь смертных грехов: Гнев богов],https://youtu.be/vG4aY5ocnlg?si=SrzzFMx5Yuyao4WH,6:52:30,Aleks kun,донат,р.3 000,нормас++,Аниме,,,,,,,,,,,
СТРИМ №267 (13.08.26),https://vkvideo.ru/video-182074546_456239412,, ,,,,,,,,,,,,,,,
ДОЛГОВОЙ, ,, ,,,,,,,,,,,,,,,
1) Dirt Poor Robins — Enchanté (Official Audio and Lyrics),https://youtu.be/4XSTgVQzGEA?si=cxacQ-Z5KXijO9yQ,14:05,Максим Киберспорт,долг Х9🌑,р.1 000,хорошечно,,,джаз / поп / инди,,,,,,,,,
2) Graeme Cornies — The War Still Rages Within [Metal Gear Rising: Revengeance OST],https://open.spotify.com/track/7DvB3bd4xMTXPM5CJBg1oc?si=dc4e36d2f8094c81,28:50,saltees_,долг Х8🌋,р.1 000,нормас,Игра,,электронное / поп-рок,,,,,,,,,
3) iwamizu — Renka {Песня любви / Renka / 戀歌},https://music.youtube.com/watch?v=hlUGx7oKYos&si=-F0QNcVIj4wxS-0r,42:10,Максим Киберспорт,долг Х7🥀,р.1 000,нормас,,,джаз / инструментал / поп,,,,,,,,,
4) HOYO-MiX — Selenic Ascension [Genshin Impact OST],https://open.spotify.com/track/4SZFG47hgiCfQzE1hF3rV8?si=61d2ef824a9b4aba,53:05,EpicFire,долг Х6👻,р.1 400,хорошечно-,Игра,,оркестровое / инструментал,,,,,,,,,
"5) Alina Gingertail — Floating Across Water (Paul Romero, Rob King & Steve Baca — Floating Across Water; Cover) [OST; Heroes Of Might And Magic IV / Герои меча и магии IV]",https://www.youtube.com/watch?v=NtNUdbiHg94,1:02:25,SinWarlock,долг Х5⚰️,р.1 550,хорошечно,Игра,,фолк / инструментал,,,,,,,,,
6) Iron Maiden — Fear of the Dark(2015 Remaster),https://open.spotify.com/track/6p8eFfPw3nQkf37aT3AkmK?si=4dc560de0fec4326,1:08:45,Phyz,долг Х4☠️,р.1 400,атлична+,,,метал,,,,,,,,,
7) Kae Hanazawa — Sailor Star Song {Песня звёздных воинов / Sailor Star Song / セーラースターソング} [1 Opening Pretty Soldier Sailor Moon: Sailor Stars / Красавица-воин Сейлор Мун: Сейлор-звёзды],https://www.youtube.com/watch?v=Sm4Tq6LIU1g,1:50:20,Rtur,долг Х3💀,р.1 361,атлична - -,Аниме,,поп-рок,,,,,,,,,
8) Queen — Ogre Battle (Live; Hammersmith Odeon 1975),https://youtu.be/uMYN6cTHyQ4?list=RDuMYN6cTHyQ4&t=270,1:55:15,TRISSAR; Static_Streams_,долг Х2,р.1 767,атлична+,,"live, progressive",рок,,,,,,,,,
9) Jesus-P feat. Kagamine Rin & Kagamine Len — Remote Control {Пульт / Remote Controller / Rimokon / リモコン} (WONDERFUL★OPPORTUNITY!; Live) + Котик Боня,https://www.youtube.com/watch?v=JPgxVDk8IRg&list=RDJPgxVDk8IRg&start_radio=1,2:10:40,Meleis,долг,р.2 655,хорошечно,,,электронное / поп,,,,,,,,,
"10) Jun Maeda — Negai ga Kanau Basho II {Место, где сбываются желания / The Place Where Wishes Come True II / Negai ga Kanau Basho II / 願いが叶う場所II} [VN; OST; Clannad / Кланнад]",https://drive.google.com/file/d/1yoN0RBO33DkRByS6dTj2kJ2cSxVvo7T3/view?usp=sharing,2:22:50,ziksp,заказ,р.1 000,нормас+,Игра,,оркестровое / инструментал,,,,,,,,,
11) Isaak Wolf — Debate,https://open.spotify.com/track/3vKUWngvatGMSdu6tZXXlb?si=50682c2871564ecf,2:32:20,Максим Киберспорт,долг Х8🌋,р.1 000,нормас+,,,метал,,,,,,,,,
12) Yoann Laulan — Prisoner's Awakening [Dead Cells OST],https://open.spotify.com/track/193ypGNKqEs423CbZ7yj1U?si=6f504cfa4f2b460f,2:42:00,SinWarlock,долг Х6👻,р.1 150,нормас++,Игра,,инструментал / фолк,,,,,,,,,
13) Calogero feat. Passi — Face à la mer (Clip officiel),https://www.youtube.com/watch?v=MFhKnRLEihE,2:50:35,Rtur,долг Х5⚰️,р.1 511,хорошечно+,,,рэп / рок,,,,,,,,,
14) The Dear Hunter — Waves,https://www.youtube.com/watch?v=ntHFxkX0fxU&list=RDntHFxkX0fxU&start_radio=1,3:01:10,Hantrik,долг Х4☠️,р.1 202,атлична-,,,инди / поп-рок,,,,,,,,,
15) Rhapsody of Fire — The Dark Tower of Abyss,https://open.spotify.com/track/0BfJBMzNqbZrZR1gaSNaEv?si=04772086ce7447f0,3:10:55,Масянечка,долг Х3💀,р.1 137,атлична - -,,,метал / оркестровое,,,,,,,,,
16) King Gnu — GO GHOST [1 Opening Koukaku Kidoutai / The Ghost in the Shell / Призрак в доспехах (2026)],https://goo.su/3XEX3J,3:28:50,Remix,долг Х2,р.1 900,атлична+,Аниме,,,,,,,,,,,
16.5) Faryma.composer крутит рулетку с чатом на наряд горничной,Стрим,3:39:45,Faryma.composer,,,,,,,,,,,,,,,
17) Architects — Royal Beggars,https://youtu.be/HNpWuwSVyDk?is=WJhQinAPbBklgrE-,3:41:30,sxowlen,донат,р.3 800,хорошечно,,,метал,,,,,,,,,
